MovieTitle,ReleaseYear,Duration,Rating,Metascore,Votes,Gross
Không Lùi Bước,2016,102.0,7.6,94.0,249281.0,27007844.0
This Is Spinal Tap,1984,82.0,7.9,94.0,146045.0,4736202.0
Khi Đàn Sếu Bay Qua,1957,95.0,8.3,94.0,19449.0,16990.0
Kẻ Mất Trí Nhớ,2000,113.0,8.4,94.0,1308453.0,25544867.0
Local Hero,1983,111.0,7.3,94.0,26350.0,5895761.0
The Ox-Bow Incident,1942,75.0,8.0,94.0,24720.0,1635000.0
A Bread Factory: Part One,2018,122.0,6.8,94.0,460.0,17325.0
Three Billboards: Truy Tìm Công Lý,2017,115.0,8.1,94.0,547774.0,54513740.0
Selma,2014,128.0,7.5,94.0,94864.0,52076908.0
Do the Right Thing,1989,120.0,8.0,94.0,111029.0,27545445.0
The Work,2017,89.0,7.8,94.0,2399.0,5853.0
Belle de jour,1967,100.0,7.6,94.0,48411.0,26331.0
Buổi Chiều Xui Xẻo,1975,125.0,8.0,94.0,271041.0,50000000.0
Cuốn Theo Chiều Gió,1939,238.0,8.2,94.0,331150.0,198676459.0
Todo sobre mi madre,1999,101.0,7.8,94.0,102080.0,8264530.0
Kẻ Đầu Mối Pháp,1971,104.0,7.7,94.0,133897.0,15630710.0
Những Cuộc Phiêu Lưu Của Robin Hood,1938,102.0,7.9,94.0,54014.0,3981000.0
Monterey Pop,1968,78.0,8.0,94.0,4852.0,1524.0
Cuộc Di Tản Dunkirk,2017,106.0,7.8,94.0,727724.0,188373161.0
Lady Bird: Tuổi Nổi Loạn,2017,94.0,7.4,94.0,322142.0,48958273.0
The Innocents,1961,100.0,7.8,94.0,32774.0,2616000.0
Amarcord,1973,123.0,7.8,94.0,46407.0,581746.0
Máu Sẽ Phải Đổ,2007,158.0,8.2,94.0,633852.0,40222514.0
Điệu Valse Của Ký Ức,2008,90.0,8.0,94.0,60073.0,2283276.0
Vua Sư Tử,1994,88.0,8.5,94.0,1128243.0,422783777.0
Cây Lê Dại,2018,188.0,8.0,94.0,27346.0,34014.0
King Kong,1933,100.0,7.9,94.0,90124.0,10000000.0
"Paris, Texas",1984,145.0,8.1,94.0,116351.0,2181987.0
Låt den rätte komma in,2008,114.0,7.8,94.0,225499.0,2122065.0
Hạnh Phúc Ảo,2013,126.0,8.0,94.0,661345.0,25568251.0
Tội Phạm Nhân Bản,1982,117.0,8.1,94.0,814212.0,32868943.0
Thị Trấn Fargo,1996,98.0,8.1,94.0,717976.0,24611975.0
Before Sunrise,1995,101.0,8.1,94.0,334780.0,5535405.0
