MovieTitle,ReleaseYear,Duration,Genre,Rating,Metascore,Votes,Gross
Harlan County U.S.A.,1976,103 min,Documentary,8.2,91,6524,6524
Napoléon vu par Abel Gance,1927,330 min,"Biography, Drama, History",8.2,91,8665,8665
Hàm Cá Mập,1975,124 min,"Adventure, Mystery, Thriller",8.1,91,652265,652265
Tay Trống Cự Phách,2014,106 min,"Drama, Music",8.5,91,966890,966890
Stagecoach,1939,96 min,"Adventure, Drama, Western",7.8,91,53097,53097
Đến Mà Xem,1985,142 min,"Drama, Thriller, War",8.4,91,94231,94231
Mê Cung Của Pan,2006,118 min,"Drama, Fantasy, War",8.2,91,697762,697762
Le Samouraï,1967,105 min,"Crime, Drama, Thriller",8,91,56085,56085
El espíritu de la colmena,1973,98 min,"Drama, Fantasy",7.8,91,20360,20360
Viridiana,1961,91 min,Drama,8.1,91,25897,25897
Jeux interdits,1952,86 min,"Comedy, Drama, War",8,91,12990,12990
Saikaku ichidai onna,1952,148 min,Drama,8.1,91,7543,7543
Laura,1944,88 min,"Drama, Film-Noir, Mystery",7.9,91,50662,50662
The Best Years of Our Lives,1946,170 min,"Drama, Romance, War",8.1,91,69686,69686
Holiday,1938,95 min,"Comedy, Romance",7.7,91,17985,17985
À bout de souffle,1960,90 min,"Crime, Drama",7.7,91,87155,87155
Tanpopo,1985,114 min,Comedy,7.9,91,22116,22116
Werckmeister harmóniák,2000,145 min,"Drama, Mystery",8,91,15649,15649
Såsom i en spegel,1961,90 min,Drama,7.9,91,27099,27099
Edvard Munch,1974 TV Movie,210 min,"Biography, Drama, History",8.2,91,3350,3350
Duck Soup,1933,69 min,"Comedy, Musical",7.7,91,62431,62431
Jules et Jim,1962,105 min,"Drama, Romance",7.7,91,44016,44016
Badlands,1973,94 min,"Action, Crime, Drama",7.7,91,77698,77698
The Thin Man,1934,91 min,"Comedy, Crime, Mystery",7.9,91,32238,32238
"Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles",1975,202 min,Drama,7.5,91,13419,13419
El sur,1983,95 min,"Drama, Mystery, Romance",7.8,91,5980,5980
Thị Trấn Rio Bravo,1959,141 min,"Drama, Western",8,91,67435,67435
Sullivan's Travels,1941,90 min,"Adventure, Comedy, Drama",7.9,91,28233,28233
2001: Chuyến Du Hành Không Gian,1968,149 min,"Adventure, Sci-Fi",8.3,84,711033,711033
Câu Chuyện Đồ Chơi 4,2019,100 min,"Animation, Adventure, Comedy",7.7,84,275991,275991
The Last Waltz,1978,117 min,"Documentary, Biography, Music",8.1,84,19809,19809
Gion bayashi,1953,85 min,Drama,7.6,84,2327,2327
Kẻ Lạ Trên Chuyến Tàu,1951,101 min,"Crime, Drama, Film-Noir",7.9,84,139960,139960
The Hustler,1961,134 min,"Drama, Sport",8,84,86182,86182
Bóng Tối Hoài Nghi,1943,108 min,"Film-Noir, Thriller",7.8,84,69805,69805
Rô-bốt Biết Yêu,2008,98 min,"Animation, Adventure, Family",8.4,84,1185900,1185900
Rosemary's Baby,1968,137 min,"Drama, Horror",8,84,232583,232583
White Heat,1949,114 min,"Action, Crime, Drama",8.1,84,35331,35331
Dead Souls,2018,495 min,"Documentary, History",8,84,371,371
Pelísky,1999,115 min,"Comedy, Drama",8.1,84,6108,6108
Những Tay Súng Miền Hoang Dã,1969,145 min,"Action, Adventure, Drama",7.9,84,89662,89662
L'avventura,1960,144 min,"Drama, Mystery, Romance",7.7,84,32300,32300
Điệp Huyết Song Hùng,1989,111 min,"Action, Crime, Drama",7.8,84,50726,50726
Bông Tai Của Đệ Nhất Phu Nhân,1953,105 min,"Drama, Romance",7.9,84,10974,10974
Amazing Grace,2018,89 min,"Documentary, Music",7.5,84,5092,5092
Chuyến Tàu Mang Tên Dục Vọng,1951,122 min,Drama,7.9,84,113499,113499
Black Narcissus,1947,101 min,Drama,7.7,84,27274,27274
Vredens dag,1943,97 min,"Drama, History",8.1,84,10958,10958
Khoảnh Khắc Cuộc Đời,2006,137 min,"Drama, Mystery, Thriller",8.4,84,406848,406848
